date,temp_maximum,temp_minimum,temp_range,temp_set_max,precip_time_of_beginning,precip_time_of_ending,precip_amount,precip_snowfall_in_inches,precip_snow_depth_tobs,wind_dir_tobs,weather_state_tobs,wind_dir_day,weather_state_day,month,year,location,county,state,lat,long,date_conv,precip_time_of_beginning_conv,precip_time_of_beginning_date
4,50,20,30,38,NA,NA,NA,NA,NA,SE,Partly Cloudy,S,Clear,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-04,NA,NA
5,57,37,20,40,NA,NA,NA,NA,NA,SW,Partly Cloudy,S,Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-05,NA,NA
6,63,40,23,57,DN,DN,T,NA,NA,SE,Cloudy,S,Partly Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-06,NA,NA
7,57,47,10,48,0.34027777777777773,DN,0.52,NA,NA,NW,Cloudy,SE,Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-07,NA,1935-01-07T14:10:00Z
8,57,39,18,40,NA,NA,NA,NA,NA,SW,Partly Cloudy,NW,Partly Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-08,NA,NA
9,60,39,21,42,NA,NA,NA,NA,NA,NW,Cloudy,NW,Clear,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-09,NA,NA
10,58,34,24,37,NA,NA,NA,NA,NA,NE,Partly Cloudy,NW,Clear,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-10,NA,NA
11,57,37,20,48,NA,NA,NA,NA,NA,SE,Partly Cloudy,SE,Partly Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-11,NA,NA
12,64,38,26,39,NA,NA,NA,NA,NA,N,Cloudy,SE,Partly Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-12,NA,NA
13,43,31,12,31,NA,NA,NA,NA,NA,SE,Cloudy,NE,Partly Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-13,NA,NA
14,47,31,16,47,NA,NA,NA,NA,NA,SE,Cloudy,SE,Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-14,NA,NA
15,65,47,18,63,DN,DN,T,NA,NA,SW,Cloudy,SE,Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-15,NA,NA
16,74,39,35,39,NA,NA,NA,NA,NA,NE,Clear,NW,Partly Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-16,NA,NA
17,50,39,11,46,NA,NA,NA,NA,NA,SE,Cloudy,SE,Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-17,NA,NA
18,53,46,7,53,0.44791666666666669,DN,0.08,NA,NA,S,Cloudy,SE,Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-18,NA,1935-01-18T16:45:00Z
19,53,24,29,25,NA,NA,NA,NA,NA,N,Cloudy,NW,Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-19,NA,NA
20,25,-1,26,-1,0.45833333333333331,DN,T,T,NA,N,Clear,N,Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-20,NA,1935-01-20T17:00:00Z
21,15,-1,16,7,NA,NA,NA,NA,NA,SW,Clear,N,Clear,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-21,NA,NA
22,38,7,31,21,NA,NA,NA,NA,NA,N,Cloudy,S,Clear,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-22,NA,NA
23,25,15,10,16,NA,NA,NA,NA,NA,E,Partly Cloudy,NE,Clear,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-23,NA,NA
24,34,15,19,28,NA,NA,NA,NA,NA,SW,Clear,S,Clear,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-24,NA,NA
25,64,28,36,33,NA,NA,NA,NA,NA,NE,Clear,SW,Clear,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-25,NA,NA
26,60,28,323,29,NA,NA,NA,NA,NA,NE,Cloudy,NW,Clear,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-26,NA,NA
27,39,26,13,34,NA,NA,NA,NA,NA,SW,Cloudy,NE,Partly Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-27,NA,NA
28,52,26,26,28,NA,NA,NA,NA,NA,NE,Clear,SW,Partly Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-28,NA,NA
29,53,27,26,30,NA,NA,NA,NA,NA,E,Cloudy,NE,Clear,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-29,NA,NA
30,56,30,26,42,NA,NA,NA,NA,NA,SW,Cloudy,SE,Clear,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-30,NA,NA
31,62,33,29,33,NA,NA,NA,NA,NA,NE,Cloudy,SW,Partly Cloudy,January,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-01-31,NA,NA
1,98,78,20,80,NA,NA,NA,NA,NA,S,Clear,S,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-01,NA,NA
2,97,78,19,79,NA,NA,NA,NA,NA,SW,Clear,SW,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-02,NA,NA
3,94,78,16,86,NA,NA,NA,NA,NA,S,Clear,S,Partly Cloudy,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-03,NA,NA
4,96,77,19,79,NA,NA,NA,NA,NA,SW,Clear,SW,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-04,NA,NA
5,98,78,20,82,NA,NA,NA,NA,NA,SW,Clear,SW,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-05,NA,NA
6,103,81,22,78,NA,NA,NA,NA,NA,SW,Clear,SW,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-06,NA,NA
7,105,77,28,76,NA,NA,NA,NA,NA,SE,Clear,SW,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-07,NA,NA
8,103,74,29,73,NA,NA,NA,NA,NA,SW,Clear,SE,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-08,NA,NA
9,104,70,34,84,NA,NA,NA,NA,NA,SW,Clear,SW,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-09,NA,NA
10,104,74,30,94,NA,NA,NA,NA,NA,SE,Clear,SW,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-10,NA,NA
11,106,72,34,81,NA,NA,NA,NA,NA,SE,Clear,SE,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-11,NA,NA
12,97,80,17,72,0.94791666666666663,DN,T,NA,NA,NE,Partly Cloudy,SW,Partly Cloudy,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-12,NA,1935-08-13T03:45:00Z
13,91,71,20,65,NA,NA,NA,NA,NA,E,Clear,NE,Partly Cloudy,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-13,NA,NA
14,93,64,29,72,NA,NA,NA,NA,NA,SE,Clear,SE,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-14,NA,NA
15,96,70,26,77,NA,NA,NA,NA,NA,SE,Clear,SE,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-15,NA,NA
16,99,76,23,79,NA,NA,NA,NA,NA,S,Clear,S,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-16,NA,NA
17,100,76,23,79,NA,NA,NA,NA,NA,SW,Clear,S,Clear,August,1935,Stillwater,Payne,Okla,36  ̊ 10',97  ̊ 50',1935-08-17,NA,NA
